ID,Tag,単語,ふりがな,説明
1,禅籍,景徳伝灯録,けいとくでんとうろく,宋代に、『宝林伝』の後を受ける形で景徳元年に成立し、直ちに入蔵した中国禅宗の歴史と教養をまとめた代表的な灯史のこと。禅宗列祖の伝記と機語がまとめられており、1701人の仏祖の名があり、「一千七百則の公案」という言葉の由来となっている。唐代の禅と宋代以降の禅を大きく区切り、敦煌文献が発見されるまで約1000年に渡って、中国禅宗の基本書であった。
2,禅籍,絶観論,ぜっかんろん,牛頭宗の綱要書のこと。牛頭法融作とされていたが、実際は異なる。牛頭宗衰退後は達摩に仮託された。入理先生と弟子縁門という架空人物の問答によって、読者を絶観の境地へと導く。絶観忘守や無情有仏性説などの思想が見られる。日本には最澄の将来目録によって題名のみが伝えられ、敦煌文献の発見で内容が明らかになった。
3,禅籍,雪竇頌古,せっちょうじゅこ,雲門宗の雪竇重顕が撰した書物で、禅者の覚りの機縁を集めて、頌を付したもの。圧倒的な詩的な美しさを有しており、後に臨済宗楊岐派の圓後克勤が評唱を加え、『碧巌録』となった。
4,禅籍,禅源諸詮集都序,ぜんげんしょせんしゅうとじょ,唐代に圭峰宗密によって撰された書物。すべての禅籍をまとめた100巻の『禅源諸詮集』を作ろうとしていたとされ、本書はその序分にあたるもの。華厳宗の思想と禅の融合である教禅一致を唱え、荷沢宗の立場から、禅宗各派を思想的に分類したもの。
5,禅籍,祖堂集,そどうしゅう,初期禅宗灯史の一つ。本書の伝灯説は『景徳伝灯録』以下の根拠となった。史実よりも禅師たちの語要を集めることに力が注がれており、古則公案の集大成的な書物として見られている。
6,禅籍,伝法宝紀,でんほうぼうき,唐代に杜朏によって撰された北宗禅の灯史のこと。実際は神秀よりも先ではあるが、神秀とともに法如の名前が記されており、義福、普寂らの名が記されていることが特徴的である。
7,禅籍,百丈清規,ひゃくじょうしんぎ,禅宗教団の生活規定として成立した中国初の清規のことで、洪州宗の馬祖道一の弟子の百丈懷海によって制定された。農耕などの作務という生活こそ禅であるという中国禅の立場に立脚したものである。
8,禅籍,碧巌録,へきがんろく,雪竇重顕の撰した『雪竇頌古』の講義を、臨済宗楊岐派の圓後克勤が評唱を加える形でまとめた公案集のこと。垂示、本則、著語、評唱という構成で、本則と頌古が雪竇重顕、著語と評唱が圓悟克勤によるものである。世間を席巻したが、圓悟克勤の弟子の大慧宗杲は修行には有害だとして、本書を焼却した。
9,禅籍,宝林伝,ほうりんでん,南宗馬祖系灯史のこと。唐代には広く流布していたが、『景徳伝灯録』や『伝法正宗記』の成立と入藏によって意義を失い散逸した。各祖師の言行の多くは創作だが、後代の南宗系灯史が『宝林伝』を基礎としたために、そのまま定説化したものも多い。伝法偈をすべての祖師に拡大した点などが特徴的である。
10,禅籍,楞伽師資記,りょうがしじき,唐代に浄覚が撰した北宗禅の灯史のこと。四巻楞伽の翻訳者である求那跋陀羅を達摩の前に置き、玄賾を系譜の中に入れたことが特徴的である。
11,禅籍,歴代法宝記,れきだいほうぼうき,弘忍の後、浄衆宗と保唐宗の一派の歴史を軸として描かれた、長巻の禅宗灯史のこと。無住の示寂直後に書かれたとされ、慧能を六祖としたうえで慧能の伝衣説を利用して智詵を正系とし、菩提達摩多羅という架空人物を作り、西天二十九祖説を主張した。
12,思想・事件,安史の乱,あんしのらん,755年から763年にかけて唐の節度使である安禄山と部下の史思明らによって引き起こされた反乱のこと。唐王朝を揺るがし、ウイグルの援軍によって乱は鎮圧したが、外交や貿易においてウイグルが有利になり、反乱軍の内部分裂を狙って節度使を濫発したため地方に小軍事政権が起こり、唐王朝は衰退していった。
13,思想・事件,一行三昧,いちぎょうざんまい,天台智顗の説く４つの坐禅の分類である四種三昧のうちのひとつである第一常坐三昧の根拠とされる思想。東山法門が『文殊説般若経』を思想の根拠とした際に一行三昧を主張した。
14,思想・事件,一日作さざれば、一日食らわず,いちにちなさざれば、いちにちくらわず,百丈懷海の言葉。老齢となっても作務をする懷海を心配した弟子たちが農耕道具を隠したため作務の出来なかった懷海は、その日の食事を食べなかった。食べない理由を問われた懷海が答えた言葉で、当時の禅宗のあり方を示している。
